Price,Schlusskurs
Ticker,AMZN
Datum,
2025-05-19,206.16000366210938
2025-05-20,204.07000732421875
2025-05-21,201.1199951171875
2025-05-22,203.10000610351562
2025-05-23,200.99000549316406
2025-05-27,206.02000427246094
2025-05-28,204.72000122070312
2025-05-29,205.6999969482422
2025-05-30,205.00999450683594
2025-06-02,206.64999389648438
2025-06-03,205.7100067138672
2025-06-04,207.22999572753906
2025-06-05,207.91000366210938
2025-06-06,213.57000732421875
2025-06-09,216.97999572753906
2025-06-10,217.61000061035156
2025-06-11,213.1999969482422
2025-06-12,213.24000549316406
2025-06-13,212.10000610351562
2025-06-16,216.10000610351562
2025-06-17,214.82000732421875
2025-06-18,212.52000427246094
2025-06-20,209.69000244140625
2025-06-23,208.47000122070312
2025-06-24,212.77000427246094
2025-06-25,211.99000549316406
2025-06-26,217.1199951171875
2025-06-27,223.3000030517578
2025-06-30,219.38999938964844
2025-07-01,220.4600067138672
2025-07-02,219.9199981689453
2025-07-03,223.41000366210938
2025-07-07,223.47000122070312
2025-07-08,219.36000061035156
2025-07-09,222.5399932861328
2025-07-10,222.25999450683594
2025-07-11,225.02000427246094
2025-07-14,225.69000244140625
2025-07-15,226.35000610351562
2025-07-16,223.19000244140625
2025-07-17,223.8800048828125
2025-07-18,226.1300048828125
2025-07-21,229.3000030517578
2025-07-22,227.47000122070312
2025-07-23,228.2899932861328
2025-07-24,232.22999572753906
2025-07-25,231.44000244140625
2025-07-28,232.7899932861328
2025-07-29,231.00999450683594
2025-07-30,230.19000244140625
2025-07-31,234.11000061035156
2025-08-01,214.75
2025-08-04,211.64999389648438
2025-08-05,213.75
2025-08-06,222.30999755859375
2025-08-07,223.1300048828125
2025-08-08,222.69000244140625
2025-08-11,221.3000030517578
2025-08-12,221.47000122070312
2025-08-13,224.55999755859375
2025-08-14,230.97999572753906
2025-08-15,231.02999877929688
2025-08-18,231.49000549316406
2025-08-19,228.00999450683594
2025-08-20,223.80999755859375
2025-08-21,221.9499969482422
2025-08-22,228.83999633789062
2025-08-25,227.94000244140625
2025-08-26,228.7100067138672
2025-08-27,229.1199951171875
2025-08-28,231.60000610351562
2025-08-29,229.0
2025-09-02,225.33999633789062
2025-09-03,225.99000549316406
2025-09-04,235.67999267578125
2025-09-05,232.3300018310547
2025-09-08,235.83999633789062
2025-09-09,238.24000549316406
2025-09-10,230.3300018310547
2025-09-11,229.9499969482422
2025-09-12,228.14999389648438
2025-09-15,231.42999267578125
2025-09-16,234.0500030517578
2025-09-17,231.6199951171875
2025-09-18,231.22999572753906
2025-09-19,231.47999572753906
2025-09-22,227.6300048828125
2025-09-23,220.7100067138672
2025-09-24,220.2100067138672
2025-09-25,218.14999389648438
2025-09-26,219.77999877929688
2025-09-29,222.1699981689453
2025-09-30,219.57000732421875
2025-10-01,220.6300048828125
2025-10-02,222.41000366210938
2025-10-03,219.50999450683594
2025-10-06,220.89999389648438
2025-10-07,221.77999877929688
2025-10-08,225.22000122070312
2025-10-09,227.74000549316406
2025-10-10,216.3699951171875
2025-10-13,220.07000732421875
2025-10-14,216.38999938964844
2025-10-15,215.57000732421875
2025-10-16,214.47000122070312
2025-10-17,213.0399932861328
2025-10-20,216.47999572753906
2025-10-21,222.02999877929688
2025-10-22,217.9499969482422
2025-10-23,221.08999633789062
2025-10-24,224.2100067138672
2025-10-27,226.97000122070312
2025-10-28,229.25
2025-10-29,230.3000030517578
2025-10-30,222.86000061035156
2025-10-31,244.22000122070312
2025-11-03,254.0
2025-11-04,249.32000732421875
2025-11-05,250.1999969482422
2025-11-06,243.0399932861328
2025-11-07,244.41000366210938
2025-11-10,248.39999389648438
2025-11-11,249.10000610351562
2025-11-12,244.1999969482422
2025-11-13,237.5800018310547
2025-11-14,234.69000244140625
2025-11-17,232.8699951171875
2025-11-18,222.5500030517578
