Price,Close,High,Low,Open,Volume
Ticker,ASML,ASML,ASML,ASML,ASML
Date,,,,,
2025-05-19,745.9111938476562,746.7774508287853,734.1021676773807,736.5515588214403,977900
2025-05-20,745.5428466796875,745.7618722446949,738.1148778442149,742.4262903465257,777200
2025-05-21,734.0025634765625,752.5425535260521,732.3297892735527,745.7917169486519,1058700
2025-05-22,737.5173950195312,743.9994327740459,730.9955510140396,733.1562100079104,863500
2025-05-23,729.3427124023438,732.8276740092476,719.4155795102446,721.4865986515683,1525200
2025-05-27,753.538330078125,757.9393827216926,746.7277530730427,748.1416348393522,1385100
2025-05-28,743.302490234375,753.1400438329235,741.6097824469579,748.9083047508342,1244000
2025-05-29,743.860107421875,756.286465756561,741.6397084033488,754.5738851691385,1166000
2025-05-30,733.6043090820312,742.7548244569366,719.8934557675931,741.8088942069488,1785400
2025-06-02,743.3223876953125,743.7405660502577,729.5119274967607,730.1392254156307,812600
2025-06-03,744.0392456054688,745.3336476620452,729.0539240078081,729.511908603252,1085100
2025-06-04,739.5885009765625,749.5355668787057,737.2286283254339,747.9523719459316,1160000
2025-06-05,744.547119140625,753.2097501193313,740.803264959637,750.8897443833528,1506500
2025-06-06,749.7845458984375,758.8254884373617,749.565459562495,752.8114621631498,1345100
2025-06-09,766.8906860351562,778.8391255139499,753.8071302203797,753.8071302203797,1769400
2025-06-10,781.59716796875,784.9029101233455,773.1536236725669,775.762361382433,1715500
2025-06-11,780.7210083007812,793.8244366708802,777.3355928537314,786.6553609301841,1365900
2025-06-12,782.8319091796875,786.1774576642766,778.9785422911523,782.0651981954627,999600
2025-06-13,757.7301635742188,769.6088959022857,756.605014054254,763.5948702273266,1742900
2025-06-16,771.8989868164062,775.8419934408608,762.6887320430621,763.077070883867,1454500
2025-06-17,756.5950317382812,769.8877061464098,754.9521578942888,763.4853417550821,1422800
2025-06-18,758.3674926757812,764.7001512175536,750.9992637845739,761.4441819076172,1372500
2025-06-20,753.2794189453125,765.7057762238016,733.0865275948634,765.0685115498012,2303900
2025-06-23,776.3697509765625,777.3953545506153,756.5453249352098,757.9891068805032,1302800
2025-06-24,809.865234375,809.9648411703271,782.7323190187327,782.7323190187327,2039600
2025-06-25,811.7371826171875,816.0186948321971,802.7559190271323,813.2407043869188,1400100
2025-06-26,794.6608276367188,797.4388178053626,783.1206003147621,796.3236350354688,1705800
2025-06-27,792.530029296875,802.0290166070677,785.0622547776625,799.4899854251164,1201000
2025-06-30,797.9466552734375,798.9921315486129,790.6281998014013,793.0577182024176,1080400
2025-07-01,787.0735473632812,792.0819640631731,779.1776275975498,784.6639624274221,1065800
